,variety,description,points,price
436,Portuguiser,2,86.0,15.0
437,Posip,8,87.875,25.125
438,Poulsard,3,87.33333333333333,26.0
439,Premsal,1,83.0,15.0
440,Prieto Picudo,15,86.13333333333334,39.4
441,Primitivo,203,86.96551724137932,24.985221674876847
442,Prié Blanc,5,88.2,24.2
443,Prosecco,34,86.94117647058823,23.529411764705884
444,Provence red blend,59,90.11864406779661,29.93220338983051
445,Provence white blend,34,88.0,23.647058823529413
446,Prugnolo Gentile,32,88.71875,47.53125
447,Prunelard,1,91.0,23.0
448,Pugnitello,3,87.66666666666667,49.0
449,Rabigato,2,89.0,34.0
450,Raboso,12,87.16666666666667,28.166666666666668
451,Ramisco,1,93.0,495.0
452,Rara Neagra,2,89.5,17.5
453,Rebo,2,88.0,27.0
454,Rebula,3,88.0,22.666666666666668
455,Red Blend,8247,88.45070934885413,36.29368255123075
456,Refosco,9,86.55555555555556,28.22222222222222
457,Rhône-style Red Blend,1394,89.14921090387375,34.99569583931133
458,Rhône-style White Blend,417,88.48920863309353,32.47002398081535
459,Ribolla Gialla,76,87.59210526315789,27.56578947368421
460,Rieslaner,4,88.75,39.0
461,Riesling,4947,89.44996967859309,32.06893066504953
462,Riesling-Chardonnay,1,94.0,40.0
463,Rivaner,3,86.66666666666667,16.333333333333332
464,Rkatsiteli,32,86.5,21.125
465,Robola,4,87.75,23.0
466,Roditis,4,86.5,16.75
467,Roditis-Moschofilero,1,88.0,11.0
468,Rolle,4,88.25,22.25
469,Romorantin,3,90.66666666666667,23.333333333333332
470,Rosado,75,84.78666666666666,13.28
471,Rosato,86,86.79069767441861,17.53488372093023
472,Rosé,3224,86.90539702233251,18.51861042183623
473,Roter Traminer,3,89.33333333333333,30.333333333333332
474,Roter Veltliner,8,90.0,37.125
475,Rotgipfler,20,90.0,27.2
476,Roussanne,167,88.49700598802396,28.20359281437126
477,Roussanne-Grenache Blanc,1,91.0,16.0
478,Roussanne-Marsanne,4,87.75,34.5
479,Roussanne-Viognier,13,89.15384615384616,31.307692307692307
480,Roviello,1,93.0,28.0
481,Ruché,12,86.83333333333333,26.666666666666668
482,Rufete,2,85.5,28.5
483,Ryzlink Rýnský,1,89.0,40.0
484,Sacy,1,87.0,19.0
485,Sagrantino,93,89.95698924731182,53.12903225806452
486,Sangiovese,2376,88.61489898989899,45.29419191919192
487,Sangiovese Cabernet,4,88.5,47.75
488,Sangiovese Grosso,589,90.80135823429542,65.63497453310696
489,Sangiovese-Cabernet Sauvignon,6,86.0,30.0
490,Sangiovese-Syrah,5,88.2,50.4
491,Saperavi,37,88.10810810810811,21.54054054054054
492,Saperavi-Merlot,2,87.0,17.5
493,Sauvignon,300,88.23,26.72
494,Sauvignon Blanc,4765,87.41448058761804,20.242812172088144
495,Sauvignon Blanc-Assyrtiko,1,92.0,20.0
496,Sauvignon Blanc-Chardonnay,6,88.16666666666667,21.666666666666668
497,Sauvignon Blanc-Chenin Blanc,4,86.75,16.0
498,Sauvignon Blanc-Semillon,68,88.16176470588235,27.058823529411764
499,Sauvignon Blanc-Verdejo,4,84.75,12.25
500,Sauvignon Gris,12,86.08333333333333,21.916666666666668
501,Sauvignon Musqué,1,87.0,18.0
502,Sauvignon-Sémillon,1,86.0,12.0
503,Sauvignonasse,1,90.0,25.0
504,Savagnin,15,89.86666666666666,43.733333333333334
505,Savatiano,2,88.0,17.5
506,Scheurebe,23,90.6086956521739,44.52173913043478
507,Schiava,23,88.17391304347827,19.043478260869566
508,Schwartzriesling,1,90.0,25.0
509,Sciaccerellu,3,88.66666666666667,37.333333333333336
510,Semillon-Chardonnay,5,85.6,12.4
511,Semillon-Sauvignon Blanc,52,88.46153846153847,29.557692307692307
512,Sercial,1,94.0,50.0
513,Seyval Blanc,14,84.14285714285714,19.214285714285715
514,Sherry,4,92.5,87.5
515,Shiraz,809,89.09394313967861,41.934487021013595
516,Shiraz-Cabernet,3,86.66666666666667,56.333333333333336
517,Shiraz-Cabernet Sauvignon,36,87.13888888888889,21.166666666666668
518,Shiraz-Grenache,15,89.66666666666667,28.266666666666666
519,Shiraz-Malbec,3,90.0,18.666666666666668
520,Shiraz-Mourvèdre,3,88.66666666666667,17.666666666666668
521,Shiraz-Roussanne,1,90.0,29.0
522,Shiraz-Tempranillo,2,82.0,8.5
523,Shiraz-Viognier,38,89.57894736842105,53.18421052631579
524,Sideritis,1,85.0,23.0
525,Siegerrebe,1,84.0,15.0
526,Silvaner,37,88.48648648648648,46.0
527,Silvaner-Traminer,1,86.0,25.0
528,Siria,11,87.36363636363636,14.272727272727273
529,Sirica,2,92.5,23.0
530,Sousão,8,88.125,36.75
531,Souzao,3,86.66666666666667,28.0
532,Sparkling Blend,865,89.43699421965317,40.653179190751445
533,Spätburgunder,70,90.05714285714286,60.97142857142857
534,St. Laurent,75,89.93333333333334,30.746666666666666
535,St. Vincent,1,85.0,24.0
536,Susumaniello,5,89.0,30.8
537,Sylvaner,46,88.43478260869566,22.130434782608695
538,Symphony,5,85.4,15.8
539,Syrah,4081,89.2947806910071,39.15045332026464
540,Syrah-Bonarda,1,87.0,13.0
541,Syrah-Cabernet,15,87.26666666666667,26.866666666666667
542,Syrah-Cabernet Franc,5,90.2,67.2
543,Syrah-Cabernet Sauvignon,37,89.29729729729729,45.13513513513514
544,Syrah-Carignan,4,89.75,22.75
545,Syrah-Grenache,57,88.70175438596492,28.87719298245614
546,Syrah-Grenache-Viognier,1,90.0,45.0
547,Syrah-Malbec,1,89.0,14.0
548,Syrah-Merlot,7,88.0,27.0
549,Syrah-Mourvèdre,20,89.25,32.05
550,Syrah-Petit Verdot,3,91.33333333333333,39.666666666666664
551,Syrah-Petite Sirah,16,89.75,40.6875
552,Syrah-Tempranillo,7,89.71428571428571,39.857142857142854
553,Syrah-Viognier,18,89.72222222222223,50.55555555555556
554,Sämling,2,88.5,35.5
555,Sémillon,131,88.13740458015268,24.61832061068702
556,Tamianka,1,89.0,20.0
557,Tamjanika,2,88.0,18.0
558,Tannat,167,88.73652694610779,33.209580838323355
559,Tannat-Cabernet,26,90.34615384615384,20.5
560,Tannat-Cabernet Franc,15,90.93333333333334,21.333333333333332
561,Tannat-Merlot,9,87.11111111111111,18.22222222222222
562,Tannat-Syrah,6,87.5,16.0
563,Tempranillo,1784,87.52802690582959,31.201793721973093
564,Tempranillo Blanco,9,83.66666666666667,29.11111111111111
565,Tempranillo Blend,581,88.27710843373494,35.91910499139415
566,Tempranillo-Cabernet Sauvignon,52,86.53846153846153,40.86538461538461
567,Tempranillo-Garnacha,32,85.1875,12.28125
568,Tempranillo-Merlot,6,85.5,21.666666666666668
569,Tempranillo-Shiraz,8,84.75,14.25
570,Tempranillo-Syrah,2,86.5,17.5
571,Tempranillo-Tannat,1,88.0,20.0
572,Teran,7,88.0,26.0
573,Teroldego,32,89.03125,32.53125
574,Teroldego Rotaliano,1,86.0,15.0
